,Test,Results
,dsGetDRCMode_neg           ,PASS
,dsSetDRCMode_pos           ,FAIL
,dsSetDRCMode_neg           ,PASS
,dsGetSurroundVirt_pos      ,PASS
,dsGetSurroundVirt_neg      ,FAIL
,dsSetSurroundVirt_pos      ,PASS
,dsSetSurroundVirt_neg      ,FAIL
,dsGetMISteering_pos        ,PASS
,dsGetMISteering_neg        ,FAIL
,dsSetMISteering_pos        ,PASS
,dsSetMISteering_neg        ,PASS
,dsGetGraphicEqMode_pos     ,PASS
,dsGetGraphicEqMode_neg     ,FAIL
,dsSetGraphicEqMode_pos     ,PASS
,dsSetGraphicEqMode_neg     ,FAIL
,dsGetMS12AudioProfList_pos ,PASS
,dsGetMS12AudioProfList_neg ,FAIL
,dsGetMS12AudioProf_pos     ,PASS
,dsGetMS12AudioProf_neg     ,FAIL
,dsGetStereoMode_pos        ,PASS
,dsGetStereoMode_neg        ,PASS
,dsSetStereoMode_pos        ,FAIL
,dsSetStereoMode_neg        ,PASS
,dsGetStereoAuto_pos        ,PASS
,dsGetStereoAuto_neg        ,FAIL
,dsSetStereoAuto_pos        ,PASS
,dsSetStereoAuto_neg        ,FAIL
,dsGetAudioGain_pos         ,FAIL
,dsGetAudioGain_neg         ,FAIL
,dsSetAudioGain_pos         ,FAIL
,dsSetAudioGain_neg         ,FAIL
,dsGetAudioLevel_pos        ,FAIL
,dsGetAudioLevel_neg        ,FAIL
,dsSetAudioLevel_pos        ,FAIL
,dsSetAudioLevel_neg        ,FAIL
,dsGetAudioDelay_pos        ,FAIL
,dsGetAudioDelay_neg        ,PASS
,dsSetAudioDelay_pos        ,FAIL
,dsSetAudioDelay_neg        ,PASS
,dsSetAudioAtmosOutMode_pos ,FAIL
,dsSetAudioAtmosOutMode_neg ,PASS
,dsGetSinkDeviceAtmosCap_pos,FAIL
,dsGetSinkDeviceAtmosCap_neg,PASS
,dsIsAudioMute_pos          ,FAIL
,dsIsAudioMute_neg          ,PASS
,dsIsAudioPortEnabled_pos   ,FAIL
,dsIsAudioPortEnabled_neg   ,PASS
,dsEnableAudioPort_pos      ,FAIL
,dsEnableAudioPort_neg      ,PASS
